ts,service,region,tenant,requests,errors,p50_ms,p95_ms,p99_ms,bytes_in,bytes_out
2026-07-11T00:46:00Z,alerting,us-east-1,t-03143,10045,48,69.81,192.96,394.11,8975693,15529725
2026-07-11T00:53:00Z,billing,us-east-1,t-02552,2517,25,27.71,50.93,78.49,3040137,3970121
2026-07-11T00:21:00Z,query-api,ap-southeast-2,t-01770,3878,6,53.59,111.74,225.10,2966533,12419664
2026-07-11T00:37:00Z,query-api,us-east-1,t-01374,7417,29,55.79,100.51,166.07,13610382,35900874
2026-07-11T00:13:00Z,billing,us-west-2,t-03935,7469,74,49.48,114.10,167.12,19237344,16623431
2026-07-11T00:37:00Z,alerting,eu-central-1,t-01441,7574,2,55.75,145.73,284.92,14197975,32759305
2026-07-11T00:02:00Z,exporter,eu-central-1,t-02657,8345,51,27.79,65.28,106.91,5986441,13999867
2026-07-11T00:14:00Z,alerting,eu-central-1,t-03716,11742,4,51.53,98.75,148.13,25976849,89971412
2026-07-11T00:13:00Z,alerting,us-east-1,t-03449,4988,36,74.10,151.71,224.14,5415463,9220416
2026-07-11T00:50:00Z,ingest-api,us-west-2,t-02755,7501,8,60.07,129.81,242.04,13481196,18254443
2026-07-11T00:53:00Z,ingest-api,ap-southeast-2,t-03703,2268,8,54.28,109.47,143.90,1368143,7015735
2026-07-11T00:09:00Z,alerting,us-east-1,t-01365,11769,126,44.88,101.26,152.42,21241129,32214629
2026-07-11T00:35:00Z,exporter,eu-central-1,t-00137,1456,13,53.91,108.35,143.13,3138036,4531789
2026-07-11T00:01:00Z,billing,eu-central-1,t-00727,10648,49,60.55,135.83,203.74,9625241,56971662
2026-07-11T00:45:00Z,billing,us-east-1,t-00107,2479,13,71.13,181.24,279.47,5622536,9768488
2026-07-11T00:08:00Z,ingest-api,us-east-1,t-00236,11004,44,45.83,95.68,135.13,26916117,43169172
2026-07-11T00:11:00Z,ingest-api,ap-southeast-2,t-03954,4010,52,59.30,129.26,245.02,9606350,22935316
2026-07-11T00:46:00Z,ingest-api,eu-central-1,t-02861,2524,34,43.95,102.70,177.41,6198296,7202989
2026-07-11T00:13:00Z,billing,us-east-1,t-03187,10331,150,31.12,68.33,143.19,23653411,22361648
2026-07-11T00:09:00Z,alerting,us-west-2,t-03663,5795,8,78.38,155.76,232.44,5923509,42174424
2026-07-11T00:48:00Z,billing,ap-southeast-2,t-00626,1455,0,43.23,104.25,194.97,588061,2191231
2026-07-11T00:03:00Z,query-api,us-east-1,t-03396,3102,11,59.51,118.74,225.56,6217039,8231870
2026-07-11T00:40:00Z,query-api,eu-central-1,t-02681,1369,2,43.49,108.09,168.07,2070270,3076089
2026-07-11T00:25:00Z,ingest-api,us-west-2,t-00119,7769,62,61.68,154.22,250.54,16400749,47492513
2026-07-11T00:54:00Z,alerting,ap-southeast-2,t-02218,9365,137,56.02,139.02,192.65,10068575,55414328
2026-07-11T00:25:00Z,ingest-api,us-east-1,t-03705,4833,51,78.55,203.92,411.19,8394383,17079954
2026-07-11T00:37:00Z,billing,us-east-1,t-01944,3890,42,24.84,46.56,68.42,4281770,21697453
2026-07-11T00:43:00Z,exporter,ap-southeast-2,t-03349,4258,42,37.90,91.68,147.44,3635891,14359744
2026-07-11T00:40:00Z,alerting,eu-central-1,t-00447,11987,98,70.10,151.30,225.48,5157612,44886447
2026-07-11T00:44:00Z,ingest-api,ap-southeast-2,t-02823,11697,53,22.23,44.57,92.86,6305676,29557467
2026-07-11T00:30:00Z,query-api,us-east-1,t-02978,2950,14,54.75,140.71,196.67,3840603,12647618
2026-07-11T00:55:00Z,query-api,us-east-1,t-02594,6542,68,78.37,144.96,302.97,14156446,33206282
2026-07-11T00:23:00Z,alerting,us-west-2,t-00160,996,11,47.68,114.02,233.05,433786,1538926
2026-07-11T00:29:00Z,alerting,us-east-1,t-02297,6587,31,76.47,150.18,203.62,5598093,46865553
2026-07-11T00:47:00Z,billing,eu-central-1,t-03231,9386,90,66.19,181.57,301.67,19310096,48875263
2026-07-11T00:34:00Z,query-api,ap-southeast-2,t-01602,2709,23,54.51,135.86,230.39,5755292,20255122
2026-07-11T00:16:00Z,ingest-api,us-west-2,t-03439,2169,18,59.08,117.20,214.57,908711,14879908
2026-07-11T00:35:00Z,ingest-api,ap-southeast-2,t-02535,1347,17,48.08,107.87,210.87,1805845,6402110
2026-07-11T00:43:00Z,alerting,eu-central-1,t-03100,407,5,36.25,95.09,194.96,307562,1435933
2026-07-11T00:50:00Z,query-api,us-east-1,t-02118,6950,56,75.20,135.68,183.64,6811240,40827337
