ts,service,region,tenant,requests,errors,p50_ms,p95_ms,p99_ms,bytes_in,bytes_out
2026-07-08T00:19:00Z,alerting,us-east-1,t-01795,7494,18,67.51,140.56,214.34,15109559,40885370
2026-07-08T00:08:00Z,exporter,ap-southeast-2,t-00749,9043,65,43.13,117.86,156.28,6001564,24501898
2026-07-08T00:15:00Z,exporter,ap-southeast-2,t-02748,2814,33,34.87,74.52,134.04,6403306,3130001
2026-07-08T00:47:00Z,ingest-api,eu-central-1,t-00468,8805,11,25.15,49.32,82.46,18638328,56204478
2026-07-08T00:02:00Z,alerting,ap-southeast-2,t-02228,10945,43,50.82,134.18,233.68,7558238,63071526
2026-07-08T00:33:00Z,exporter,eu-central-1,t-01451,7227,18,35.15,84.45,131.11,3952039,34529803
2026-07-08T00:51:00Z,ingest-api,us-west-2,t-00450,3721,0,43.56,103.20,174.12,9025982,26560429
2026-07-08T00:38:00Z,billing,us-east-1,t-02002,9651,106,42.32,118.37,175.66,9421604,66767385
2026-07-08T00:42:00Z,billing,eu-central-1,t-00443,903,1,71.57,173.43,273.37,763189,835188
2026-07-08T00:27:00Z,billing,ap-southeast-2,t-03077,7316,22,35.49,97.80,162.24,18547032,39560552
2026-07-08T00:59:00Z,exporter,ap-southeast-2,t-03796,4398,23,73.78,168.76,273.32,10365833,18256057
2026-07-08T00:48:00Z,alerting,us-west-2,t-02171,7097,71,24.95,64.84,135.73,17537405,10785996
2026-07-08T00:56:00Z,billing,eu-central-1,t-00121,4266,28,50.68,100.32,162.96,6746986,13970668
2026-07-08T00:26:00Z,exporter,ap-southeast-2,t-03296,10320,148,37.07,85.69,128.49,4813640,38393448
2026-07-08T00:50:00Z,billing,ap-southeast-2,t-00696,8540,10,42.47,95.20,173.36,10856559,32094980
2026-07-08T00:54:00Z,ingest-api,ap-southeast-2,t-00395,8975,81,63.88,127.19,170.39,9425693,41353833
2026-07-08T00:01:00Z,exporter,us-east-1,t-01050,1834,12,72.38,146.27,263.69,1077664,3682262
2026-07-08T00:15:00Z,query-api,us-west-2,t-00142,909,0,35.52,90.83,130.38,1093801,4358642
2026-07-08T00:52:00Z,alerting,us-east-1,t-01942,10066,83,23.71,64.87,127.32,24235968,19209052
2026-07-08T00:33:00Z,ingest-api,us-west-2,t-02884,3432,33,58.32,108.48,161.82,4887436,5896578
2026-07-08T00:29:00Z,alerting,us-east-1,t-02459,9121,48,51.45,120.41,195.21,20549538,12253718
2026-07-08T00:16:00Z,ingest-api,eu-central-1,t-03780,10911,84,73.16,156.79,250.52,27138058,60276850
2026-07-08T00:53:00Z,exporter,us-east-1,t-02068,10734,147,57.68,103.96,202.82,18370646,25272953
2026-07-08T00:32:00Z,alerting,us-west-2,t-02172,10051,129,78.00,172.88,283.76,11310723,72008557
2026-07-08T00:16:00Z,ingest-api,ap-southeast-2,t-03647,9900,80,57.57,151.59,219.54,8310430,48828944
2026-07-08T00:40:00Z,query-api,us-west-2,t-02227,511,1,32.07,70.74,145.81,1140057,1386781
2026-07-08T00:10:00Z,exporter,us-west-2,t-00112,3636,12,53.73,123.34,191.71,7531235,12027310
2026-07-08T00:03:00Z,billing,us-west-2,t-00058,5969,76,36.92,89.56,136.83,12849072,10268305
2026-07-08T00:01:00Z,billing,us-west-2,t-02353,11543,63,54.84,114.12,195.00,9474594,14120856
2026-07-08T00:04:00Z,query-api,us-west-2,t-00190,5487,21,60.30,142.44,229.99,3168914,34633914
2026-07-08T00:59:00Z,query-api,ap-southeast-2,t-01211,7144,84,23.20,48.85,93.12,7976153,44656538
2026-07-08T00:48:00Z,query-api,eu-central-1,t-03647,8809,108,50.42,99.81,177.40,10579808,53491272
2026-07-08T00:25:00Z,exporter,ap-southeast-2,t-00309,2212,1,49.13,88.84,173.35,1457893,13748374
2026-07-08T00:13:00Z,exporter,us-west-2,t-03228,5787,23,70.19,152.62,277.39,3486116,9078922
2026-07-08T00:51:00Z,ingest-api,us-west-2,t-00957,8863,50,52.01,130.61,224.86,20501586,49450614
2026-07-08T00:02:00Z,query-api,ap-southeast-2,t-01175,1220,7,42.13,93.84,164.04,1136992,4248187
2026-07-08T00:40:00Z,billing,ap-southeast-2,t-02393,975,9,31.05,79.75,153.34,1005867,4004151
2026-07-08T00:06:00Z,query-api,eu-central-1,t-00410,5748,2,62.97,134.15,218.52,5113630,16177724
2026-07-08T00:33:00Z,exporter,ap-southeast-2,t-03466,6170,75,38.57,83.49,172.24,4019309,6426321
2026-07-08T00:35:00Z,billing,us-west-2,t-01306,8867,48,62.18,170.62,335.21,14950990,42600306
2026-07-08T00:49:00Z,exporter,ap-southeast-2,t-00842,10893,121,77.53,176.29,244.52,24788581,22504552
2026-07-08T00:39:00Z,ingest-api,ap-southeast-2,t-03674,3294,18,48.59,118.53,201.08,7765592,10712769
2026-07-08T00:42:00Z,query-api,ap-southeast-2,t-01095,8876,105,77.12,188.26,319.40,22751853,16357119
2026-07-08T00:30:00Z,exporter,ap-southeast-2,t-00587,10651,157,33.45,75.28,115.42,19088425,71401994
2026-07-08T00:11:00Z,alerting,eu-central-1,t-00955,157,1,29.65,65.90,133.51,402670,351439
2026-07-08T00:50:00Z,billing,eu-central-1,t-03060,8398,54,24.98,54.60,86.96,13967884,64326815
2026-07-08T00:34:00Z,query-api,eu-central-1,t-00729,4597,62,42.02,89.77,186.09,7642386,30277833
2026-07-08T00:56:00Z,billing,ap-southeast-2,t-00761,11004,86,57.34,129.86,249.62,23926400,39772575
2026-07-08T00:11:00Z,billing,eu-central-1,t-01710,3329,48,39.57,84.58,115.02,7605465,6031363
2026-07-08T00:41:00Z,billing,eu-central-1,t-02005,10143,151,75.69,200.02,297.48,12827264,34413529
2026-07-08T00:11:00Z,billing,us-west-2,t-02605,10379,101,63.07,173.28,341.56,19162811,63480492
2026-07-08T00:27:00Z,exporter,us-west-2,t-02598,7036,29,25.54,48.52,72.62,3605518,34371653
2026-07-08T00:27:00Z,ingest-api,us-east-1,t-01759,5751,18,54.42,129.14,209.83,4724320,25619476
2026-07-08T00:50:00Z,billing,eu-central-1,t-01902,10682,94,60.00,167.19,257.71,8187734,59646487
2026-07-08T00:57:00Z,exporter,ap-southeast-2,t-02573,1159,6,57.40,104.50,213.61,1913252,4210406
