ts,service,region,tenant,requests,errors,p50_ms,p95_ms,p99_ms,bytes_in,bytes_out
2026-07-13T00:18:00Z,billing,eu-central-1,t-03996,1357,4,55.58,143.59,289.93,2332008,8520134
2026-07-13T00:55:00Z,billing,ap-southeast-2,t-02083,5615,45,28.49,60.06,86.67,5579109,24897878
2026-07-13T00:53:00Z,exporter,us-east-1,t-03790,2663,37,61.76,154.04,252.61,4229330,3339079
2026-07-13T00:48:00Z,billing,us-west-2,t-01488,1188,10,78.44,213.78,323.84,679880,9077094
2026-07-13T00:53:00Z,exporter,us-west-2,t-01641,8135,46,56.18,145.01,211.23,11351277,12543858
2026-07-13T00:36:00Z,query-api,us-east-1,t-03147,4050,48,31.21,66.48,88.50,1749394,7354088
2026-07-13T00:32:00Z,alerting,us-east-1,t-03597,2959,20,57.28,107.25,222.68,3048671,5330094
2026-07-13T00:09:00Z,ingest-api,eu-central-1,t-01878,4580,62,59.31,129.22,210.66,10586749,22973114
2026-07-13T00:34:00Z,alerting,us-east-1,t-02046,11064,150,78.43,219.32,342.53,12710035,35008142
2026-07-13T00:34:00Z,alerting,us-west-2,t-01374,10456,68,23.91,57.64,91.67,14606302,73056693
2026-07-13T00:27:00Z,alerting,ap-southeast-2,t-03702,11863,22,78.72,194.59,279.64,7201102,56842090
2026-07-13T00:28:00Z,query-api,us-east-1,t-01522,9523,14,68.79,133.50,233.92,8999902,40581178
2026-07-13T00:40:00Z,exporter,eu-central-1,t-01864,4111,0,37.04,89.06,171.51,3973832,28903015
2026-07-13T00:29:00Z,alerting,us-east-1,t-00810,10142,64,77.24,205.03,404.53,8880927,43595298
2026-07-13T00:25:00Z,exporter,us-east-1,t-03018,10278,149,57.27,112.06,166.76,17859397,63363405
2026-07-13T00:08:00Z,query-api,us-east-1,t-03269,4202,26,33.32,86.88,138.95,6877387,19872684
2026-07-13T00:47:00Z,exporter,eu-central-1,t-03181,4788,31,59.68,119.18,249.33,5086780,36189248
2026-07-13T00:01:00Z,query-api,eu-central-1,t-03046,238,3,59.89,160.98,249.94,145310,471222
2026-07-13T00:16:00Z,ingest-api,ap-southeast-2,t-01067,6823,26,78.92,167.67,340.09,15377152,19276818
2026-07-13T00:48:00Z,alerting,us-west-2,t-03472,8998,30,25.38,68.52,96.95,21119839,55136578
2026-07-13T00:05:00Z,query-api,eu-central-1,t-02409,3903,49,46.39,99.31,207.52,6928058,19274033
2026-07-13T00:18:00Z,exporter,eu-central-1,t-01807,6875,54,28.51,74.44,111.68,3612828,30971842
2026-07-13T00:07:00Z,exporter,us-east-1,t-03911,881,0,48.01,134.21,193.39,685014,1174697
2026-07-13T00:21:00Z,ingest-api,us-west-2,t-03838,7794,89,64.07,118.77,210.69,12405352,33014766
2026-07-13T00:13:00Z,exporter,ap-southeast-2,t-03480,5045,61,51.10,132.28,180.15,10965662,22817615
2026-07-13T00:45:00Z,billing,eu-central-1,t-02472,1079,11,51.72,94.11,128.94,1122361,5929338
2026-07-13T00:31:00Z,query-api,us-east-1,t-00969,4532,59,30.04,71.33,105.77,8696650,7668684
2026-07-13T00:37:00Z,exporter,eu-central-1,t-01675,3280,33,52.32,111.47,202.89,5675734,3102096
2026-07-13T00:46:00Z,alerting,us-east-1,t-03778,2856,5,63.38,127.08,232.13,6515815,5356322
2026-07-13T00:03:00Z,exporter,ap-southeast-2,t-01735,5692,39,52.24,128.28,228.76,11386878,25370894
2026-07-13T00:38:00Z,query-api,us-east-1,t-01676,3936,38,69.13,143.56,251.28,4256786,6262150
