ts,service,region,tenant,requests,errors,p50_ms,p95_ms,p99_ms,bytes_in,bytes_out
2026-07-09T00:51:00Z,exporter,ap-southeast-2,t-03665,5469,51,50.04,130.20,253.14,12231609,31020571
2026-07-09T00:11:00Z,exporter,us-west-2,t-00225,7662,93,58.07,148.59,246.90,15853115,37557233
2026-07-09T00:45:00Z,query-api,us-east-1,t-00274,1426,4,27.71,74.08,107.85,3386395,6681867
2026-07-09T00:46:00Z,alerting,eu-central-1,t-02284,612,4,62.84,164.54,240.37,749306,2614859
2026-07-09T00:00:00Z,billing,ap-southeast-2,t-03578,87,0,36.71,68.48,143.61,179628,326350
2026-07-09T00:46:00Z,billing,us-west-2,t-02396,5629,0,58.22,127.10,264.90,12624340,33185823
2026-07-09T00:29:00Z,ingest-api,ap-southeast-2,t-01161,11478,164,51.29,116.35,162.25,19097711,66361737
2026-07-09T00:43:00Z,ingest-api,ap-southeast-2,t-02135,2119,5,37.24,80.84,162.71,2441578,5211093
2026-07-09T00:40:00Z,alerting,us-east-1,t-02504,11541,103,44.99,99.20,165.31,28379560,24199880
2026-07-09T00:44:00Z,exporter,us-west-2,t-01644,3596,53,68.99,172.53,240.16,8262819,15070533
2026-07-09T00:45:00Z,exporter,ap-southeast-2,t-03772,10257,87,60.03,131.32,183.08,24393801,36337343
2026-07-09T00:24:00Z,billing,eu-central-1,t-03613,9836,98,61.89,123.37,223.72,21084861,50057925
2026-07-09T00:21:00Z,query-api,us-east-1,t-00444,9820,18,21.92,53.18,111.23,4488330,12712317
2026-07-09T00:20:00Z,alerting,ap-southeast-2,t-01138,8208,115,25.73,52.09,96.06,9157620,27155425
2026-07-09T00:09:00Z,exporter,eu-central-1,t-01342,10774,74,70.10,148.92,302.76,24264752,33237132
2026-07-09T00:20:00Z,ingest-api,us-west-2,t-00447,11842,28,46.63,103.10,183.87,23851454,72252748
2026-07-09T00:21:00Z,ingest-api,us-east-1,t-02971,5941,28,21.81,40.28,71.69,6122353,24989227
2026-07-09T00:02:00Z,query-api,us-east-1,t-01047,4604,13,59.56,152.77,313.02,7774963,21865249
2026-07-09T00:44:00Z,billing,us-west-2,t-02734,3363,36,32.35,71.94,144.80,2932105,15707295
2026-07-09T00:17:00Z,alerting,us-east-1,t-03701,9704,115,23.20,61.33,108.64,24143894,41521116
2026-07-09T00:16:00Z,ingest-api,us-west-2,t-00875,951,7,31.84,81.10,112.73,1899856,5504949
2026-07-09T00:35:00Z,ingest-api,us-east-1,t-02876,5846,19,58.54,106.51,201.39,12911746,11895554
2026-07-09T00:50:00Z,alerting,us-east-1,t-03111,7983,39,32.14,69.28,101.18,9314013,41327328
2026-07-09T00:10:00Z,exporter,ap-southeast-2,t-01369,40,0,47.08,90.96,119.24,100728,145612
2026-07-09T00:35:00Z,query-api,ap-southeast-2,t-02106,661,3,79.94,181.04,345.85,1216652,1490420
2026-07-09T00:33:00Z,ingest-api,ap-southeast-2,t-02737,1063,5,42.92,78.65,138.83,471298,2217785
2026-07-09T00:32:00Z,ingest-api,ap-southeast-2,t-01515,5398,44,28.44,53.08,77.86,3878534,10017725
2026-07-09T00:13:00Z,billing,eu-central-1,t-00377,8076,12,55.91,155.90,312.87,20508449,7721321
2026-07-09T00:15:00Z,query-api,ap-southeast-2,t-00459,5173,13,42.67,77.19,159.73,12113640,32587175
2026-07-09T00:59:00Z,billing,us-east-1,t-00761,10621,143,78.58,147.90,268.05,14126630,25878453
2026-07-09T00:22:00Z,exporter,us-west-2,t-02266,11811,75,27.53,54.86,71.49,26929779,34886593
2026-07-09T00:26:00Z,alerting,ap-southeast-2,t-00689,11004,51,36.33,91.85,122.93,23746262,58650495
2026-07-09T00:59:00Z,exporter,us-west-2,t-02432,5258,22,26.02,54.51,98.95,2665809,12646525
2026-07-09T00:59:00Z,ingest-api,us-east-1,t-02813,3635,44,27.48,71.04,102.03,2407962,14791313
2026-07-09T00:23:00Z,ingest-api,ap-southeast-2,t-02136,511,6,41.53,90.02,121.45,431126,1972254
2026-07-09T00:47:00Z,ingest-api,us-east-1,t-00190,11977,120,25.48,59.15,86.66,8756728,87356341
2026-07-09T00:39:00Z,exporter,eu-central-1,t-02702,8656,55,46.88,101.19,202.72,18958046,20336459
2026-07-09T00:21:00Z,exporter,eu-central-1,t-03722,135,1,49.47,112.23,223.99,256564,726138
2026-07-09T00:50:00Z,billing,us-west-2,t-02234,1088,9,37.25,100.93,158.66,2121673,5168276
2026-07-09T00:15:00Z,exporter,us-east-1,t-02049,520,5,29.02,52.91,86.00,1060482,3617284
2026-07-09T00:57:00Z,billing,us-west-2,t-03641,2358,0,37.98,104.94,191.69,5620671,5495205
2026-07-09T00:39:00Z,exporter,ap-southeast-2,t-02197,11189,115,24.34,46.38,62.91,5380307,67642854
2026-07-09T00:14:00Z,ingest-api,ap-southeast-2,t-00523,1791,16,35.51,86.13,137.40,1930839,8241954
2026-07-09T00:12:00Z,query-api,us-west-2,t-01240,6200,20,72.01,152.06,199.66,3747709,10242478
2026-07-09T00:13:00Z,query-api,us-east-1,t-03335,11924,55,74.18,182.16,242.29,10643049,62380851
2026-07-09T00:19:00Z,billing,us-east-1,t-02619,1310,10,38.21,82.50,164.08,3348331,4869285
2026-07-09T00:10:00Z,billing,us-east-1,t-01937,3585,2,56.29,141.24,196.48,6834602,11959952
2026-07-09T00:38:00Z,alerting,eu-central-1,t-03908,11349,56,74.36,156.41,253.54,29013052,59363298
2026-07-09T00:10:00Z,query-api,ap-southeast-2,t-01516,1917,20,72.86,159.10,213.66,3175748,2379571
2026-07-09T00:39:00Z,billing,us-west-2,t-03908,456,3,73.41,171.63,292.48,200597,954718
2026-07-09T00:24:00Z,ingest-api,ap-southeast-2,t-03999,1464,2,40.05,111.25,204.49,3202631,6982962
2026-07-09T00:46:00Z,billing,us-west-2,t-02272,7658,113,37.32,69.72,135.12,19167826,21710819
2026-07-09T00:56:00Z,alerting,us-east-1,t-01867,492,4,36.24,66.30,90.76,854150,2828892
2026-07-09T00:44:00Z,alerting,us-east-1,t-00636,3922,23,55.74,128.23,244.95,5448567,12191350
2026-07-09T00:02:00Z,alerting,eu-central-1,t-00910,7592,64,70.53,191.90,264.47,14610599,8630825
2026-07-09T00:36:00Z,exporter,us-east-1,t-00753,4455,57,22.61,56.86,78.90,5363326,22753502
2026-07-09T00:32:00Z,exporter,us-west-2,t-02119,6228,79,58.45,132.95,235.45,4528605,22038043
2026-07-09T00:51:00Z,ingest-api,us-east-1,t-02584,9454,100,48.33,126.37,262.73,21716061,49129380
2026-07-09T00:59:00Z,billing,ap-southeast-2,t-02026,5835,57,39.32,82.76,166.57,6365730,18971162
2026-07-09T00:27:00Z,ingest-api,us-west-2,t-02006,3482,34,20.77,53.37,95.83,6977986,24620154
2026-07-09T00:39:00Z,billing,ap-southeast-2,t-00392,6244,64,55.18,102.06,162.02,15750175,22376396
2026-07-09T00:44:00Z,billing,ap-southeast-2,t-03932,3890,34,36.14,90.80,119.07,5554941,16139612
2026-07-09T00:37:00Z,alerting,ap-southeast-2,t-01667,6231,48,67.48,142.47,295.49,5522895,32899212
2026-07-09T00:47:00Z,billing,us-east-1,t-02558,5977,2,60.25,121.81,240.47,9131110,32435895
2026-07-09T00:41:00Z,ingest-api,ap-southeast-2,t-03212,5678,45,28.64,65.39,125.47,9552473,14140431
2026-07-09T00:41:00Z,ingest-api,eu-central-1,t-02256,2641,18,20.04,48.93,82.54,6531340,4070368
2026-07-09T00:38:00Z,billing,ap-southeast-2,t-02199,10985,68,74.61,167.64,236.46,11696948,65840521
2026-07-09T00:46:00Z,ingest-api,us-east-1,t-00725,877,5,23.84,58.48,76.55,1480285,4662363
2026-07-09T00:03:00Z,billing,eu-central-1,t-01639,7573,75,75.79,190.02,345.73,16907127,23310928
2026-07-09T00:42:00Z,exporter,us-east-1,t-00540,8319,81,74.70,168.53,317.94,16231826,58522944
2026-07-09T00:34:00Z,exporter,us-east-1,t-01320,6528,66,20.62,51.71,83.88,11946578,39598622
2026-07-09T00:13:00Z,billing,us-west-2,t-00500,5958,58,33.94,65.45,133.48,14376487,21944717
2026-07-09T00:14:00Z,billing,eu-central-1,t-02944,5256,25,22.49,43.30,79.54,3435377,26988510
2026-07-09T00:45:00Z,query-api,us-east-1,t-02371,9836,39,39.22,92.10,163.55,21019880,21070011
2026-07-09T00:09:00Z,exporter,ap-southeast-2,t-03490,3218,35,20.53,52.00,92.80,5587288,15083834
2026-07-09T00:05:00Z,exporter,eu-central-1,t-00110,8720,112,63.41,162.76,230.49,9108447,53095856
2026-07-09T00:24:00Z,exporter,us-west-2,t-02281,4254,12,21.51,43.25,74.86,7564871,11309498
