ts,service,region,tenant,requests,errors,p50_ms,p95_ms,p99_ms,bytes_in,bytes_out
2026-07-12T00:34:00Z,billing,eu-central-1,t-02369,7717,102,61.47,155.50,217.87,8327230,48422048
2026-07-12T00:52:00Z,billing,ap-southeast-2,t-01114,11479,2,56.34,130.29,170.48,29031878,48540045
2026-07-12T00:04:00Z,exporter,us-west-2,t-00420,4227,52,75.74,196.85,306.76,4709500,25566364
2026-07-12T00:37:00Z,query-api,us-east-1,t-02672,11328,120,63.43,169.82,287.11,14985715,15212047
2026-07-12T00:40:00Z,billing,eu-central-1,t-02184,8155,100,62.64,159.78,252.69,13088760,42366737
2026-07-12T00:00:00Z,alerting,us-west-2,t-01378,10720,122,53.53,124.03,228.58,19479902,80054837
2026-07-12T00:06:00Z,alerting,eu-central-1,t-02745,6338,51,62.54,114.17,233.00,15114043,33875363
2026-07-12T00:55:00Z,query-api,us-west-2,t-02312,1687,23,57.67,139.50,253.83,1939860,11996548
2026-07-12T00:16:00Z,alerting,ap-southeast-2,t-01199,3618,3,57.94,147.36,254.64,5914902,23604969
2026-07-12T00:18:00Z,ingest-api,us-west-2,t-03261,7603,26,20.34,54.10,79.93,6534539,15097593
2026-07-12T00:25:00Z,billing,ap-southeast-2,t-01586,3678,13,55.14,132.18,178.77,5710475,17579647
2026-07-12T00:13:00Z,ingest-api,us-east-1,t-01950,9627,46,62.06,157.41,277.49,9778698,61275771
2026-07-12T00:41:00Z,exporter,us-east-1,t-03998,6732,21,74.70,185.93,378.88,15200985,43215396
2026-07-12T00:51:00Z,query-api,eu-central-1,t-02560,6550,32,58.77,138.98,223.72,14325414,36417072
2026-07-12T00:45:00Z,exporter,us-east-1,t-00781,7584,92,54.25,119.14,233.05,12456941,41781404
2026-07-12T00:33:00Z,exporter,us-east-1,t-01372,1839,25,67.78,131.33,237.49,2216016,10597569
2026-07-12T00:13:00Z,ingest-api,us-west-2,t-03133,2543,19,49.28,119.98,217.62,5191730,3446950
2026-07-12T00:40:00Z,billing,eu-central-1,t-03979,4975,28,55.74,125.25,189.86,10945983,32945354
2026-07-12T00:35:00Z,billing,eu-central-1,t-00029,10010,129,77.87,151.32,252.72,20783552,56541007
2026-07-12T00:03:00Z,billing,eu-central-1,t-03331,4029,22,78.56,158.89,297.03,4641911,23328968
2026-07-12T00:52:00Z,billing,us-east-1,t-03703,6075,87,68.02,185.23,256.79,15390459,17689649
2026-07-12T00:35:00Z,query-api,eu-central-1,t-03156,523,2,75.93,202.92,378.21,1129666,1695932
2026-07-12T00:51:00Z,alerting,us-east-1,t-03012,7889,82,33.86,80.64,105.41,9699020,29657968
2026-07-12T00:55:00Z,billing,ap-southeast-2,t-01320,5797,13,71.46,186.42,322.42,4866587,35631611
2026-07-12T00:30:00Z,alerting,us-east-1,t-01238,8628,67,65.40,139.14,254.46,17426618,48343233
2026-07-12T00:40:00Z,ingest-api,ap-southeast-2,t-02623,8027,103,23.51,57.41,111.21,17807643,25302640
2026-07-12T00:36:00Z,alerting,us-east-1,t-01399,5378,59,46.88,111.93,173.69,13748307,34037602
2026-07-12T00:34:00Z,exporter,us-west-2,t-02775,4498,45,49.52,110.14,167.01,2153775,30371201
2026-07-12T00:16:00Z,ingest-api,eu-central-1,t-01322,9866,81,77.25,212.17,383.05,22228203,32283145
2026-07-12T00:14:00Z,alerting,ap-southeast-2,t-00901,6492,79,57.17,134.24,249.04,9184297,11025005
2026-07-12T00:05:00Z,ingest-api,us-west-2,t-03690,6554,13,34.86,69.47,118.96,5732237,19714043
2026-07-12T00:28:00Z,billing,eu-central-1,t-01355,1924,23,57.51,111.61,199.96,1498739,3320696
2026-07-12T00:53:00Z,exporter,eu-central-1,t-02383,11759,102,61.86,171.60,255.39,7231402,19593700
2026-07-12T00:49:00Z,alerting,eu-central-1,t-02908,3417,15,77.13,169.94,353.49,2443699,13422842
2026-07-12T00:31:00Z,query-api,us-east-1,t-02825,2121,14,45.44,115.92,230.50,1587875,9071718
2026-07-12T00:58:00Z,alerting,eu-central-1,t-01023,10599,71,47.58,103.20,211.10,23884695,65426973
2026-07-12T00:22:00Z,billing,ap-southeast-2,t-00110,9448,28,56.75,141.76,295.20,22031032,35072183
2026-07-12T00:34:00Z,billing,eu-central-1,t-00872,10773,51,38.50,91.74,137.19,25064490,24703529
2026-07-12T00:43:00Z,query-api,us-east-1,t-01504,4692,25,57.54,145.96,216.99,3118344,31493005
